feature,train_missing,train_pct,valid_missing,valid_pct,test_missing,test_pct
PM2.5,0,0.0,0,0.0,0,0.0
PM10,0,0.0,0,0.0,0,0.0
NO,0,0.0,0,0.0,0,0.0
NO2,0,0.0,0,0.0,0,0.0
NOx,0,0.0,0,0.0,0,0.0
NH3,0,0.0,0,0.0,0,0.0
CO,0,0.0,0,0.0,0,0.0
SO2,0,0.0,0,0.0,0,0.0
O3,0,0.0,0,0.0,0,0.0
Benzene,0,0.0,0,0.0,0,0.0
Toluene,0,0.0,0,0.0,0,0.0
AQI,0,0.0,0,0.0,0,0.0
Year,0,0.0,0,0.0,0,0.0
Month,0,0.0,0,0.0,0,0.0
Day,0,0.0,0,0.0,0,0.0
DayOfWeek,0,0.0,0,0.0,0,0.0
IsWeekend,0,0.0,0,0.0,0,0.0
is_lockdown,0,0.0,0,0.0,0,0.0
AQI_lag_1,0,0.0,0,0.0,0,0.0
AQI_lag_2,0,0.0,0,0.0,0,0.0
AQI_lag_3,0,0.0,0,0.0,0,0.0
AQI_lag_7,0,0.0,0,0.0,0,0.0
PM25_lag_1,0,0.0,0,0.0,0,0.0
PM25_lag_3,0,0.0,0,0.0,0,0.0
PM10_lag_1,0,0.0,0,0.0,0,0.0
CO_lag_1,0,0.0,0,0.0,0,0.0
AQI_roll_mean_3,0,0.0,0,0.0,0,0.0
AQI_roll_mean_7,0,0.0,0,0.0,0,0.0
AQI_roll_std_7,0,0.0,0,0.0,0,0.0
AQI_roll_max_7,0,0.0,0,0.0,0,0.0
AQI_roll_min_7,0,0.0,0,0.0,0,0.0
AQI_change,0,0.0,0,0.0,0,0.0
PM25_change,0,0.0,0,0.0,0,0.0
PM10_change,0,0.0,0,0.0,0,0.0
Month_sin,0,0.0,0,0.0,0,0.0
Month_cos,0,0.0,0,0.0,0,0.0
DayOfWeek_sin,0,0.0,0,0.0,0,0.0
DayOfWeek_cos,0,0.0,0,0.0,0,0.0
pollution_index,0,0.0,0,0.0,0,0.0
