feature,train_missing,train_pct,valid_missing,valid_pct,test_missing,test_pct
pollution_index,10173,58.335,1663,22.334,643,13.84
PM10_change,9662,55.405,1363,18.305,402,8.653
PM10_lag_1,9492,54.43,1307,17.553,363,7.813
PM10,9478,54.349,1299,17.446,363,7.813
NH3,8298,47.583,1503,20.185,527,11.343
AQI_change,4415,25.317,483,6.487,290,6.242
Toluene,4336,24.864,2383,32.004,1322,28.455
PM25_change,4315,24.743,365,4.902,207,4.455
AQI_lag_7,4203,24.101,405,5.439,247,5.316
PM25_lag_3,4171,23.918,328,4.405,170,3.659
PM25_lag_1,4137,23.723,316,4.244,168,3.616
AQI_lag_3,4134,23.705,387,5.197,234,5.037
PM2.5,4120,23.625,310,4.163,168,3.616
AQI_lag_2,4116,23.602,383,5.144,231,4.972
AQI_lag_1,4098,23.499,380,5.103,227,4.886
AQI,4081,23.402,375,5.036,225,4.843
Benzene,3820,21.905,1007,13.524,796,17.133
AQI_roll_mean_3,3616,20.735,232,3.116,136,2.927
AQI_roll_std_7,3483,19.972,183,2.458,104,2.238
O3,3444,19.749,237,3.183,341,7.34
NOx,3410,19.554,501,6.728,274,5.898
SO2,3339,19.147,328,4.405,187,4.025
AQI_roll_mean_7,3331,19.101,150,2.015,78,1.679
AQI_roll_max_7,3331,19.101,150,2.015,78,1.679
AQI_roll_min_7,3331,19.101,150,2.015,78,1.679
NO,3139,18.0,217,2.914,226,4.864
NO2,3085,17.69,270,3.626,230,4.95
CO_lag_1,1551,8.894,346,4.647,187,4.025
CO,1534,8.796,341,4.58,184,3.96
Month,0,0.0,0,0.0,0,0.0
Year,0,0.0,0,0.0,0,0.0
IsWeekend,0,0.0,0,0.0,0,0.0
DayOfWeek,0,0.0,0,0.0,0,0.0
is_lockdown,0,0.0,0,0.0,0,0.0
Day,0,0.0,0,0.0,0,0.0
Month_sin,0,0.0,0,0.0,0,0.0
Month_cos,0,0.0,0,0.0,0,0.0
DayOfWeek_sin,0,0.0,0,0.0,0,0.0
DayOfWeek_cos,0,0.0,0,0.0,0,0.0
