rank,feature,coefficient,absolute_coefficient,importance,importance_pct,cumulative_pct
1,AQI_lag_1,0.7223213709968195,0.7223213709968195,0.7223213709968195,28.6213,28.6213
2,AQI_change,0.4100329318796547,0.4100329318796547,0.4100329318796547,16.2472,44.8685
3,PM2.5,0.17932278914852212,0.17932278914852212,0.17932278914852212,7.1055,51.974
4,AQI_roll_max_7,0.15546592414715057,0.15546592414715057,0.15546592414715057,6.1602,58.1342
5,AQI_roll_std_7,-0.13014119425213477,0.13014119425213477,0.13014119425213477,5.1567,63.2909
6,PM25_change,-0.11079739913899245,0.11079739913899245,0.11079739913899245,4.3902,67.6811
7,PM25_lag_1,-0.10917364770733036,0.10917364770733036,0.10917364770733036,4.3259,72.007
8,AQI_roll_min_7,-0.08623726163200215,0.08623726163200215,0.08623726163200215,3.4171,75.4241
9,pollution_index,0.07991737590378684,0.07991737590378684,0.07991737590378684,3.1667,78.5908
10,AQI_roll_mean_3,0.07966342373643132,0.07966342373643132,0.07966342373643132,3.1566,81.7474
11,CO,0.07711978892108302,0.07711978892108302,0.07711978892108302,3.0558,84.8032
12,CO_lag_1,0.07510006455089448,0.07510006455089448,0.07510006455089448,2.9758,87.779
13,AQI_lag_3,-0.04685600597943455,0.04685600597943455,0.04685600597943455,1.8566,89.6356
14,PM10_lag_1,0.03708818141606211,0.03708818141606211,0.03708818141606211,1.4696,91.1052
15,SO2,0.033684246459078214,0.033684246459078214,0.033684246459078214,1.3347,92.4399
16,AQI_roll_mean_7,-0.025187902521170556,0.025187902521170556,0.025187902521170556,0.998,93.4379
17,Month,0.023192185156786914,0.023192185156786914,0.023192185156786914,0.919,94.3569
18,AQI_lag_7,0.01795742453401054,0.01795742453401054,0.01795742453401054,0.7115,95.0684
19,Month_cos,-0.014512514897129111,0.014512514897129111,0.014512514897129111,0.575,95.6434
20,Year,0.013894351992920486,0.013894351992920486,0.013894351992920486,0.5506,96.194
21,O3,0.011403466977320606,0.011403466977320606,0.011403466977320606,0.4519,96.6459
22,PM10,-0.010019107286013101,0.010019107286013101,0.010019107286013101,0.397,97.0429
23,Toluene,-0.00988844367141825,0.00988844367141825,0.00988844367141825,0.3918,97.4347
24,NO,-0.009869809673254359,0.009869809673254359,0.009869809673254359,0.3911,97.8258
25,NO2,0.00930794805622694,0.00930794805622694,0.00930794805622694,0.3688,98.1946
26,NOx,0.008251594492593318,0.008251594492593318,0.008251594492593318,0.327,98.5216
27,IsWeekend,-0.008069153889952939,0.008069153889952939,0.008069153889952939,0.3197,98.8413
28,DayOfWeek,0.006640952231964231,0.006640952231964231,0.006640952231964231,0.2631,99.1044
29,PM25_lag_3,-0.005331790159076495,0.005331790159076495,0.005331790159076495,0.2113,99.3157
30,AQI_lag_2,0.004975700191311129,0.004975700191311129,0.004975700191311129,0.1972,99.5129
31,Day,0.004381627570298747,0.004381627570298747,0.004381627570298747,0.1736,99.6865
32,DayOfWeek_cos,0.002287442556653256,0.002287442556653256,0.002287442556653256,0.0906,99.7771
33,DayOfWeek_sin,0.0019482675440263253,0.0019482675440263253,0.0019482675440263253,0.0772,99.8543
34,PM10_change,-0.0017599364365494937,0.0017599364365494937,0.0017599364365494937,0.0697,99.924
35,Month_sin,-0.0009345858027752021,0.0009345858027752021,0.0009345858027752021,0.037,99.961
36,NH3,0.0007704960470434799,0.0007704960470434799,0.0007704960470434799,0.0305,99.9915
37,Benzene,-0.00021295713934533437,0.00021295713934533437,0.00021295713934533437,0.0084,99.9999
38,is_lockdown,-1.734723475976807e-16,1.734723475976807e-16,1.734723475976807e-16,0.0,99.9999
